fid,id,x,y
330,329,-57.8309310924,48.9548425376
331,330,-52.7150453921,47.5640270016
332,331,-57.9515449488,48.9223581986
333,332,-52.6759662856,47.6203973924
334,333,-54.8581776155,49.4109191861
335,334,-59.3959411504,47.8826785907
336,335,-52.7849417393,47.5240164152
337,336,-53.0027471561,48.0871605666
338,337,-52.7316444913,47.5908820882
339,338,-53.0055474301,47.4959114967
340,339,-55.8279733022,47.0748004794
341,340,-52.9400795134,47.6497710812
342,341,-57.6380286084,49.0142298341
343,342,-57.8803768218,49.5212606811
344,343,-53.9023179343,47.6855504645
345,344,-58.1804343344,48.5088078667
346,345,-53.1442069686,48.5350197349
347,346,-53.0422541393,47.9546654528
348,347,-52.7041239943,47.566973376
349,348,-57.9744690428,48.9430405775
350,349,-52.7246517456,47.562883794
351,350,-53.2275777082,47.6938521262
352,351,-57.0037758844,53.7048349008
353,352,-58.2077350648,49.0567195657
354,353,-53.6294279253,49.1460885869
355,354,-56.049785917,49.50720351
356,355,-58.4391432575,48.4058728031
357,356,-55.3159718912,48.8108777736
358,357,-57.8799831164,49.5356549793
359,358,-57.3923454265,50.5285246353
360,359,-54.5354748617,49.5401356059
361,360,-53.0817767056,48.4962786199
362,361,-56.1809692805,49.5841798345
363,362,-52.7239638276,47.5657384366
364,363,-54.6104525276,48.9613405583
365,364,-52.9766190817,47.6025254754
366,365,-55.0326799749,49.3119269473
367,366,-56.7791035938,51.2325273897
368,367,-60.3978461414,53.3184448949
369,368,-60.7470018827,53.3279111945
370,369,-56.9551223405,50.8836469879
371,370,-52.975654609,47.6027899883
372,371,-52.9309610432,47.5338726562
373,372,-55.6509912132,48.9267562482
374,373,-60.3798303061,53.2983961154
375,374,-52.9496464855,47.5334021676
376,375,-52.6908258087,47.6055579957
377,376,-58.5062533089,48.6514625564
378,377,-57.6082311246,49.0121068116
379,378,-53.2234083848,47.488657073
380,379,-53.2164032075,47.4413310766
381,380,-55.5764766617,48.9682912103
382,381,-53.2194165223,47.7435213849
383,382,-60.4154916197,53.309597485
384,383,-59.1383104655,47.5726308908
385,384,-55.6498983678,48.9411661574
386,385,-53.1929213479,48.583795866
387,386,-59.1714142968,47.5849775057
388,387,-58.5968282956,48.5571264958
389,388,-56.1816647715,49.9428550306
390,389,-53.3124173205,47.6276498906
391,390,-55.4724900898,51.5047995312
392,391,-56.8248199404,49.9142193476
393,392,-54.0854305309,48.1666970131
394,393,-52.7915185081,47.5193787184
395,394,-55.932741801,48.902593168
396,395,-53.2168845351,48.549044078
397,396,-53.2383402995,47.7268429798
398,397,-58.9725012783,48.6302478679
399,398,-64.0046459974,53.5268138397
400,399,-55.6684212913,48.949290182
401,400,-59.1735284149,47.5849487361
402,401,-58.3670691447,49.0907462049
403,402,-53.7210483501,48.1744899595
404,403,-54.9622265047,49.2888909402
405,404,-52.7107254002,47.6553400442
406,405,-54.8532882344,49.5759314916
407,406,-52.8141847489,47.4936732235
408,407,-55.3143996897,47.1738890509
409,408,-58.32881657,48.8066982645
410,409,-58.596120463,48.5475268531
411,410,-52.938346639,47.1001664646
412,411,-61.7222290077,56.523091648
413,412,-57.9277256424,49.6242115318
414,413,-57.9574184992,48.9535103767
415,414,-52.9506938185,48.1522274204
416,415,-54.2749904922,49.7133971701
417,416,-55.6566215863,51.4564776802
418,417,-53.6397425285,48.0452496194
419,418,-52.7627879495,47.5643261196
420,419,-57.6011397531,49.0093353859
421,420,-57.3841481888,49.2124472854
422,421,-52.8115067509,47.490941808
423,422,-57.9374718701,48.9524905747
424,423,-58.4395627962,48.5045575238
425,424,-57.9873083255,48.9293918509
426,425,-54.0122932215,48.8555449107
427,426,-52.8074366834,47.5178427923
428,427,-52.7240392696,47.703742122
429,428,-55.2090496625,47.0129562159
430,429,-52.8708294045,47.5674055232
431,430,-52.696198627,47.594881448
432,431,-58.0531345707,48.4881997306
433,432,-53.0771296949,48.5078461372
434,433,-53.3313664324,47.9532195377
435,434,-54.7608888043,49.6566223394
436,435,-59.1755845065,47.5833584304
437,436,-56.0985010784,48.9441279635
438,437,-58.0743990234,49.0174986026
439,438,-55.7574598181,47.0958917169
440,439,-56.0817785136,49.7065048848
441,440,-66.9433478685,52.9102257873
442,441,-52.8822516673,47.5930085163
443,442,-56.0996974654,49.6100777672
444,443,-52.8337241554,47.5323035461
445,444,-53.3725593796,47.5095840454
446,445,-53.035879381,47.4852163321
447,446,-58.5963437086,48.5480133626
448,447,-58.2386775106,48.5082996732
449,448,-58.1193128469,49.0746397943
450,449,-52.7543916243,47.5158320768
451,450,-53.0978875285,48.6641243417
452,451,-57.9194693131,48.961843205
453,452,-52.7586449586,47.5323170302
454,453,-53.967673397,48.1938485807
455,454,-52.7338860627,47.5525303262
456,455,-52.7229544393,47.5642052482
457,456,-53.3085566237,47.6245257319
458,457,-53.2380112629,47.7343475405
459,458,-53.0483270379,47.9516771665
460,459,-55.5390426124,46.9466572454
461,460,-53.6061094771,49.1629161786
462,461,-53.7245893114,48.1457918847
463,462,-55.8776778048,49.9903094063
464,463,-59.1362205566,47.5688794656
465,464,-52.7595145477,47.5131175126
466,465,-58.6215237792,48.396263269
467,466,-58.6868978777,47.6225648738
468,467,-59.1507238365,47.5860523176
469,468,-52.7701866283,47.7648695933
470,469,-57.9275293013,48.9856924348
471,470,-52.7128191791,47.5858917584
472,471,-53.2111947479,47.7483246669
473,472,-55.5486406473,48.908150832
474,473,-53.0492298498,47.4718864594
475,474,-53.1101261291,48.6474047525
476,475,-55.5808937292,51.3601508173
477,476,-58.5881659429,48.54770564
478,477,-58.6055572384,48.0860135271
479,478,-52.7298385781,47.5612782133
480,479,-57.4470008861,49.1870842327
481,480,-53.9699749423,48.8784103403
482,481,-60.1449350546,53.5258016646
483,482,-55.7622515074,47.1015217405
484,483,-55.4771773217,51.5426554435
485,484,-52.7662457553,47.5382314125
486,485,-54.1640330774,48.3617765746
487,486,-53.3780151309,46.7245557849
488,487,-53.5549433842,49.1794054174
489,488,-52.7902190404,47.5036803307
490,489,-55.5994953478,49.9556346547
491,490,-59.3681756898,47.8759962514
492,491,-52.7482564279,47.6557788558
493,492,-55.7160855428,49.590594412
494,493,-53.0972599154,47.843112057
495,494,-55.1362397861,47.1651011843
496,495,-58.9816491422,47.9043628503
497,496,-53.2577062523,47.4185764149
498,497,-52.6701097215,47.6142197432
499,498,-53.7067995934,49.3454643749
500,499,-52.7251855541,47.5747724144
